,image,species,individual_id
5,000a8f2d5c316a.jpg,bottlenose_dolphin,b9907151f66e
6,000be9acf46619.jpg,beluga,afb9b3978217
7,000bef247c7a42.jpg,humpback_whale,444d8894ccc8
8,000c3d63069748.jpg,beluga,df94b15285b9
9,000c476c11bad5.jpg,bottlenose_dolphin,b11b2404c7e3
17,001b0900f56e89.jpg,humpback_whale,bc14b5054353
18,001cfade605960.jpg,blue_whale,ff69d0975a73
19,001f1a1f22da96.jpg,minke_whale,780fefdb6198
29,002ac5f9ad7c10.jpg,false_killer_whale,f7bb4f9a9d1a
30,002e00960cec44.jpg,common_dolphin,e943980b7a98
31,002fb5fee50b97.jpg,humpback_whale,45fc3a8e1d4e
40,003ab41b6147f4.jpg,beluga,92ff817f9805
106,00a198105cdc24.jpg,humpback_whale,da611bc6c389
107,00a3449831cb17.jpg,dusky_dolphin,e04885cf2a1e
108,00a4745e7218c4.jpg,bottlenose_dolpin,3b5cd491b73f
109,00a5f0c7e639ce.jpg,blue_whale,f23863acde5a
110,00aa710486d3b5.jpg,bottlenose_dolphin,6398f8680938
111,00ab71e582117c.jpg,spinner_dolphin,c9d65b1a3b8e
112,00ac4935ad83b4.jpg,humpback_whale,152d41d8f0a6
113,00afe60388a560.jpg,killer_whale,1138a9024ee5
114,00afe7b25dc241.jpg,humpback_whale,136214790115
115,00b0f5aa111833.jpg,dusky_dolphin,5015b9e45c33
116,00b3bf2c51d511.jpg,false_killer_whale,4b9bc905af99
117,00b71c50bb2be4.jpg,beluga,db73c9938adb
118,00b773df4a863d.jpg,humpback_whale,be3543fc7c74
119,00b7e608440f77.jpg,bottlenose_dolphin,812be36c2aef
120,00bd3260725f0c.jpg,dusky_dolphin,381ad3515ef3
121,00be328933f508.jpg,blue_whale,30c6cff9ac82
122,00bf58d0f7b4c1.jpg,beluga,e5cffdb1b51d
123,00c0135a96f085.jpg,spinner_dolphin,0e06d1b6ed03
124,00c021e7dc6da2.jpg,fin_whale,43a1413b3da1
125,00c0bf276875e0.jpg,false_killer_whale,7a890f4d5842
126,00c4c5832c0c78.jpg,bottlenose_dolphin,f4d76609b0af
127,00cb904cf19b86.jpg,bottlenose_dolphin,5f48c2296a0e
128,00ce336ef6b8b5.jpg,humpback_whale,35f898e6595e
129,00cf2ccfae0f7e.jpg,dusky_dolphin,0a1b55308c62
130,00cf7a68a89a6d.jpg,humpback_whale,c9ab1ba25eb8
131,00d0927689a7a2.jpg,humpback_whale,6a6fa3ec3810
132,00d0f38d99c221.jpg,bottlenose_dolphin,4b8534134eb8
133,00d113413a1d49.jpg,beluga,7a8863eb9227
134,00d57842379951.jpg,blue_whale,a3d1f5d2fb22
135,00d6a347b07263.jpg,spinner_dolphin,365c8c1b1840
136,00db5ec9e46a3d.jpg,globis,f66a485c89f7
137,00de478885ca7c.jpg,melon_headed_whale,992145e63e59
138,00e130666ba6e6.jpg,humpback_whale,938b7e931166
139,00e3258f41806c.jpg,bottlenose_dolphin,735496dc7e64
140,00e4b6642f7f5a.jpg,false_killer_whale,ea6eccb47a48
141,00e67227918b41.jpg,bottlenose_dolphin,6bf9810d3632
142,00e6b936f02c6e.jpg,blue_whale,fc7685b5bd05
143,00e828b22fe365.jpg,beluga,a0426f94bee5
144,00e82b4e0691e1.jpg,bottlenose_dolphin,0e4660baf3f1
145,00e9136ab88016.jpg,killer_whale,27f53391fdcc
146,00eb3441343226.jpg,beluga,5185e90ddcb1
147,00eb689c10db84.jpg,brydes_whale,a5fa185061f0
148,00eb80dafb4fda.jpg,beluga,823584047470
149,00eea1a5b9d8bc.jpg,spinner_dolphin,1a795ba08d48
150,00efc65d9f69ee.jpg,humpback_whale,5da95809a5a3
151,00f0f055d749fa.jpg,bottlenose_dolphin,208b91b1ca2b
152,00f266025063e7.jpg,bottlenose_dolphin,a48bdc9f7fd9
153,00f286edc2e6bb.jpg,humpback_whale,7362d7a01d00
154,00f32804ed5fb3.jpg,false_killer_whale,2280b5fcc6c2
155,00f3e4528e819e.jpg,fin_whale,180c0ab04dcd
156,00f45997b905c3.jpg,dusky_dolphin,2d23242622cd
157,00f5b73aa72279.jpg,humpback_whale,bba489ffa50e
158,00f6d88f12dcf8.jpg,humpback_whale,8497e07df745
159,00f7ab6adcb2dd.jpg,bottlenose_dolphin,c90e0c2c6623
160,00f9b3f53e440e.jpg,commersons_dolphin,21833976de5f
161,00f9c62840d4d0.jpg,commersons_dolphin,317b3a905ce4
162,00fa44f35d843b.jpg,humpback_whale,aa0e4acb6a29
163,00fa57e4793b90.jpg,humpback_whale,10e758eb503a
164,00fa70fb2c3673.jpg,humpback_whale,a19b3b964ac1
165,00fb7dd2e41765.jpg,bottlenose_dolphin,02da0e68dccd
166,00fd2ba8c057e3.jpg,bottlenose_dolphin,7053d3c812b5
167,00fdcc59386b20.jpg,bottlenose_dolphin,b11b2404c7e3
168,00fe0f599a58cd.jpg,dusky_dolphin,cd9097fd2097
297,01a00da8c2d098.jpg,common_dolphin,d8903b976ed0
298,01a22827047da8.jpg,spotted_dolphin,914c55bc799b
299,01a3aeb3ceb649.jpg,gray_whale,fc0f7c162cc0
300,01a5b3028d54a2.jpg,blue_whale,1e2e557c42fa
301,01a6df4835fb09.jpg,beluga,be315fad6ef4
302,01a6f267236aa7.jpg,humpback_whale,dad9b2cc8452
303,01a8ef2a189e24.jpg,beluga,44bd3fec6ad6
304,01a9fa70e24958.jpg,dusky_dolphin,f0ed67377986
305,01aabe9ce0cd33.jpg,bottlenose_dolphin,57e6545ed9aa
306,01ac458d9c44d7.jpg,bottlenose_dolpin,4f1654aa65bc
307,01b371886547bd.jpg,beluga,67cb8df71255
308,01b3fd19d99f67.jpg,bottlenose_dolphin,d04d847eb995
309,01b46ee97eecf6.jpg,beluga,a9f87526d3ef
